dataset,disease,downsample_method,data_collection,obs_interval,kld
shed9,fifth,upperbound,repeat4times,30,0.4264880810544205
shed9,fifth,upperbound,repeat4times,60,0.8658657458430559
shed9,fifth,upperbound,repeat4times,90,1.1178239409927386
shed9,fifth,upperbound,repeat4times,180,1.4966420428636567
shed9,fifth,upperbound,repeat4times,360,1.656836142923074
shed9,pertussis,upperbound,repeat4times,10,0.024219161212573857
shed9,pertussis,upperbound,repeat4times,30,0.08660849054848335
shed9,pertussis,upperbound,repeat4times,60,0.13731725806236994
shed9,pertussis,upperbound,repeat4times,90,0.1651209945478411
shed9,pertussis,upperbound,repeat4times,180,0.19953016544524124
shed9,pertussis,upperbound,repeat4times,360,0.2073532477741946
shed9,chickenpox,upperbound,repeat4times,10,0.019380710145970845
shed9,chickenpox,upperbound,repeat4times,30,0.06397225765445078
shed9,chickenpox,upperbound,repeat4times,60,0.09142847094710659
shed9,chickenpox,upperbound,repeat4times,90,0.09931184394410304
shed9,chickenpox,upperbound,repeat4times,180,0.10942879862351751
shed9,chickenpox,upperbound,repeat4times,360,0.12249453558787866
shed9,MERS,upperbound,repeat4times,10,0.054546388385239314
shed9,MERS,upperbound,repeat4times,30,0.26933929929166217
shed9,MERS,upperbound,repeat4times,60,0.5128815879148675
shed9,MERS,upperbound,repeat4times,90,0.8788810488950515
shed9,MERS,upperbound,repeat4times,180,1.3271343083380893
shed9,MERS,upperbound,repeat4times,360,1.6697154076982372
shed9,diphtheria,upperbound,repeat4times,10,0.07092663949052258
shed9,diphtheria,upperbound,repeat4times,30,0.2284582922553064
shed9,diphtheria,upperbound,repeat4times,60,0.3254305594594815
shed9,diphtheria,upperbound,repeat4times,90,0.3839776673881277
shed9,diphtheria,upperbound,repeat4times,180,0.4372632670832653
shed9,diphtheria,upperbound,repeat4times,360,0.4741105930262848
shed9,measles,upperbound,repeat4times,10,0.02614078786415809
shed9,measles,upperbound,repeat4times,30,0.08422431655740359
shed9,measles,upperbound,repeat4times,60,0.1029189973143839
shed9,measles,upperbound,repeat4times,90,0.1095542707162376
shed9,measles,upperbound,repeat4times,180,0.11650436910941137
shed9,measles,upperbound,repeat4times,360,0.15051182078114303
shed9,covid19,upperbound,repeat4times,10,0.145878070721115
shed9,covid19,upperbound,repeat4times,30,0.5100160989775168
shed9,covid19,upperbound,repeat4times,60,0.7926558270584737
shed9,covid19,upperbound,repeat4times,90,0.8954588865683448
shed9,covid19,upperbound,repeat4times,180,1.003692298279209
shed9,covid19,upperbound,repeat4times,360,1.09404329791866
shed9,covid19alpha,upperbound,repeat4times,10,0.174375810947396
shed9,covid19alpha,upperbound,repeat4times,30,0.5329477496956111
shed9,covid19alpha,upperbound,repeat4times,60,0.7495353909295707
shed9,covid19alpha,upperbound,repeat4times,90,0.8469443005864551
shed9,covid19alpha,upperbound,repeat4times,180,0.9088624404546632
shed9,covid19alpha,upperbound,repeat4times,360,0.9708942608550917
shed9,covid19beta,upperbound,repeat4times,10,0.16212573395149874
shed9,covid19beta,upperbound,repeat4times,30,0.5208300670941312
shed9,covid19beta,upperbound,repeat4times,60,0.7410025576983378
shed9,covid19beta,upperbound,repeat4times,90,0.8380871940670205
shed9,covid19beta,upperbound,repeat4times,180,0.8946414530287938
shed9,covid19beta,upperbound,repeat4times,360,0.9627010073679875
shed9,covid19delta,upperbound,repeat4times,10,0.10378962723762984
shed9,covid19delta,upperbound,repeat4times,30,0.3276027003398788
shed9,covid19delta,upperbound,repeat4times,60,0.41754279043075593
shed9,covid19delta,upperbound,repeat4times,90,0.4689283687948239
shed9,covid19delta,upperbound,repeat4times,180,0.5002871694051958
shed9,covid19delta,upperbound,repeat4times,360,0.526349549303934
